                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                    127,                0.51762,                 0.2688,                 0.7938,                0.86121,                0.79327,                0.79987,                0.61234,                0.77668,                0.39174,                0.83327,             0.00026868,             0.00026868,             0.00026868
                    128,                0.51563,                0.26623,                 0.7947,                0.85412,                0.80336,                0.79673,                0.60685,                0.77226,                0.38997,                0.83329,             0.00026514,             0.00026514,             0.00026514
                    129,                0.52286,                 0.2718,                0.79056,                0.86917,                0.80804,                0.80365,                0.61014,                0.78013,                0.38931,                0.83602,             0.00026161,             0.00026161,             0.00026161
                    130,                0.49495,                0.26116,                 0.7905,                0.86177,                0.79775,                0.80465,                0.60724,                0.77751,                0.38809,                0.83491,             0.00025808,             0.00025808,             0.00025808
                    131,                0.52399,                0.27017,                0.79159,                0.95062,                0.73616,                0.81325,                0.61403,                0.78457,                0.38474,                  0.837,             0.00025454,             0.00025454,             0.00025454
                    132,                0.53153,                0.27146,                0.79225,                0.86526,                  0.796,                0.80871,                0.61266,                0.77764,                0.38355,                0.83266,             0.00025101,             0.00025101,             0.00025101
                    133,                0.51645,                0.26632,                0.79254,                 0.8656,                0.79279,                  0.794,                0.60303,                0.77567,                0.38737,                0.83343,             0.00024747,             0.00024747,             0.00024747
                    134,                0.50637,                0.26685,                 0.7956,                0.86312,                0.78646,                0.79072,                0.59989,                0.77543,                0.38862,                0.83366,             0.00024394,             0.00024394,             0.00024394
                    135,                0.51645,                0.27206,                0.79039,                 0.8343,                0.78804,                0.80829,                0.59655,                 0.7972,                0.38519,                 0.8357,              0.0002404,              0.0002404,              0.0002404
                    136,                0.51406,                0.26493,                0.79437,                  0.863,                0.78997,                0.81741,                0.61396,                0.78832,                0.37866,                0.83494,             0.00023687,             0.00023687,             0.00023687
                    137,                0.49171,                0.25842,                0.79226,                0.86521,                0.79183,                0.81747,                0.61915,                0.76493,                0.38323,                 0.8323,             0.00023334,             0.00023334,             0.00023334
                    138,                 0.4987,                0.26596,                0.79037,                0.87537,                0.79436,                0.81798,                0.60912,                0.76204,                0.38699,                0.83236,              0.0002298,              0.0002298,              0.0002298
