                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                    145,                 0.4291,                0.22833,                 0.7821,                0.80415,                0.80945,                 0.8009,                0.59861,                0.77937,                0.37583,                0.83633,             0.00020506,             0.00020506,             0.00020506
                    146,                0.44311,                0.24394,                0.78773,                0.80189,                0.79879,                0.78818,                0.58915,                0.77635,                0.37672,                0.83527,             0.00020153,             0.00020153,             0.00020153
                    147,                0.43739,                0.22748,                0.78865,                0.92479,                0.79186,                0.82527,                0.60327,                0.77364,                0.37765,                0.83577,             0.00019799,             0.00019799,             0.00019799
                    148,                0.43548,                0.23335,                0.78288,                0.90289,                0.79748,                0.82284,                0.60785,                0.77582,                 0.3734,                 0.8365,             0.00019446,             0.00019446,             0.00019446
                    149,                0.44301,                0.23359,                0.78444,                0.90021,                0.78998,                0.82031,                0.60168,                0.77307,                0.37769,                0.83567,             0.00019092,             0.00019092,             0.00019092
                    150,                0.44198,                0.22885,                0.78409,                0.83755,                0.79394,                0.79664,                0.59996,                0.77912,                0.37663,                 0.8364,             0.00018739,             0.00018739,             0.00018739
                    151,                0.45153,                0.24143,                0.79064,                0.84055,                 0.7944,                0.79417,                0.60606,                0.77242,                0.37291,                0.83512,             0.00018385,             0.00018385,             0.00018385
                    152,                0.44651,                0.23388,                 0.7901,                0.82148,                0.78722,                0.79277,                 0.5959,                0.77357,                0.37731,                0.83469,             0.00018032,             0.00018032,             0.00018032
                    153,                 0.4283,                0.22687,                0.79269,                0.81352,                0.78513,                0.81694,                0.60265,                0.77476,                0.38209,                0.83453,             0.00017679,             0.00017679,             0.00017679
                    154,                0.43289,                0.23202,                0.78021,                0.81013,                0.79295,                0.78476,                0.59502,                0.77779,                0.38535,                0.83468,             0.00017325,             0.00017325,             0.00017325
                    155,                0.43912,                0.22879,                0.78762,                0.80685,                 0.7934,                0.79563,                0.60334,                 0.7749,                0.38288,                 0.8339,             0.00016972,             0.00016972,             0.00016972
